dir,system,species,mtime,n_blocks,atoms_per_block,cells_per_block,g_band_eff,g_band_src,ne,wmax,fgrid,aux_dw,eta,eta_ir_floor,interaction_cutoff,lowmask,cmsub,kk_percent,arms,ballistic,outcome,iterations,last_residual,size_gb,bulk_gb,read_by_code,mentioned_in_docs,verdict,reasons
mos2f3b2,mos2_film,Mo+S,2026-08-03,3,6,1,1,env,121,16.0,file,0.02,0.0,0.0,10.0,,,,1,yes,ballistic,,0.0,0.8212,,phonon/scripts/figures/_extract_film_kappa.py,phonon/docs/report_removed.md,keep-referenced,gband=1;cells_per_block=1;h6-cutoff=10
mos2f3long,mos2_film,Mo+S,2026-08-02,3,6,1,2,date+clamp,267,16.0,file,0.02,0.0,0.0,10.0,,,,1,,incomplete,94,18380.0,1.2092,,phonon/scripts/figures/_extract_mos2_spiral.py;phonon/studies/_ir_exponents.py;phonon/studies/_lead_balance_gain.py,,keep-referenced,gband=2;cells_per_block=1;h6-cutoff=10
mos2f3ls,mos2_film,Mo+S,2026-08-01,3,6,1,2,date+clamp,121,16.0,window,0.0,0.0,0.0,10.0,,,,1,,timeout,3,2.5001,0.8187,,,,superseded,gband=2;cells_per_block=1;h6-cutoff=10;timeout
mos2f3mr,mos2_film,Mo+S,2026-08-02,3,6,1,2,date+clamp,267,16.0,file,0.02,0.0,0.0,10.0,,,,2,,incomplete,14,0.97473,1.2146,,phonon/scripts/figures/_extract_mos2_spiral.py,,keep-referenced,gband=2;cells_per_block=1;h6-cutoff=10
mos2f3nu,mos2_film,Mo+S,2026-08-01,3,6,1,2,date+clamp,262,16.0,file,0.02,0.0,0.0,10.0,,,,2,yes,ballistic,,0.0,0.1752,,phonon/scripts/figures/_extract_grid_aliasing.py;phonon/studies/_bubble_positivity.py;phonon/studies/_ir_exponents.py;phonon/studies/_ir_killtest.py;phonon/studies/_lead_balance_gain.py;phonon/studies/_mixed_structure_review.py,phonon/docs/bubble_positivity.md;phonon/docs/report_removed.md,keep-referenced,gband=2;cells_per_block=1;h6-cutoff=10
mos2f3o4,mos2_film,Mo+S,2026-08-03,3,6,1,2,date+clamp,264,16.0,file,0.02,0.0,0.0,10.0,,,,4,,timeout,27,58640000000.0,2.0202,,phonon/scripts/figures/_extract_mos2_spiral.py;phonon/studies/_bubble_positivity.py,,keep-referenced,gband=2;cells_per_block=1;h6-cutoff=10;timeout
mos2f3q7,mos2_film,Mo+S,2026-08-05,3,6,1,,unknown,121,16.0,file,0.02,0.0,0.0,10.0,,,,,,no-log,,,3.1407,,,,analysis-only,no-solver-log
mos2f3q7b,mos2_film,Mo+S,2026-08-05,3,6,1,2,date+clamp,262,16.0,file,0.02,0.0,0.0,10.0,,,,1,yes,crash+oom,,,0.0056,,,,superseded,gband=2;cells_per_block=1;h6-cutoff=10;crash;oom
mos2f3q7b2,mos2_film,Mo+S,2026-08-05,3,6,1,2,date+clamp,262,16.0,file,0.02,0.0,0.0,10.0,,,,1,yes,ballistic,,0.0,0.0108,,phonon/scripts/figures/_extract_film_kappa.py,,keep-referenced,gband=2;cells_per_block=1;h6-cutoff=10
mos2f3q9,mos2_film,Mo+S,2026-08-05,3,6,1,,unknown,121,16.0,file,0.02,0.0,0.0,10.0,,,,,,no-log,,,8.5797,,,,analysis-only,no-solver-log
mos2f3q9b,mos2_film,Mo+S,2026-08-05,3,6,1,2,date+clamp,262,16.0,file,0.02,0.0,0.0,10.0,,,,1,yes,crash+oom,,,0.0092,,,,superseded,gband=2;cells_per_block=1;h6-cutoff=10;crash;oom
mos2f3q9b2,mos2_film,Mo+S,2026-08-05,3,6,1,2,date+clamp,262,16.0,file,0.02,0.0,0.0,10.0,,,,1,yes,ballistic,,0.0,0.0178,,phonon/scripts/figures/_extract_film_kappa.py,,keep-referenced,gband=2;cells_per_block=1;h6-cutoff=10
mos2f3scp,mos2_film,Mo+S,2026-08-02,3,6,1,2,date+clamp,267,16.0,file,0.02,0.0,0.0,10.0,,,,9,,timeout,6,0.90422,6.278,,phonon/studies/_asr_project_film_job.sh;phonon/studies/_bubble_positivity.py;phonon/studies/_ir_killtest.py,phonon/docs/run_audit_2026-08.md,keep-referenced,gband=2;cells_per_block=1;h6-cutoff=10;timeout
mos2f3tp,mos2_film,Mo+S,2026-08-02,3,6,1,2,date+clamp,267,16.0,file,0.02,0.0,0.0,10.0,,,,1,,incomplete,29,1.0,0.6073,,phonon/scripts/figures/_extract_mos2_spiral.py,,keep-referenced,gband=2;cells_per_block=1;h6-cutoff=10
mos2f4dense,mos2_film,Mo+S,2026-08-09,2,12,2,1,date+clamp,15001,16.0,window,0.01,0.0,0.0,48.0,,,,1,,crash+oom,1,1.0,1.2837,,phonon/studies/_memory_model.py,phonon/docs/bubble_positivity.md;phonon/docs/mos2_kappa_z_ladder.md;phonon/docs/report_removed.md,keep-referenced,gband=1;crash;oom
mos2f6b,mos2_film,Mo+S,2026-08-03,6,6,1,1,env,262,16.0,file,0.02,0.0,0.0,10.0,,,,2,yes,ballistic+crash+oom,,0.0,1.9752,,phonon/scripts/figures/_extract_film_kappa.py,,keep-referenced,gband=1;cells_per_block=1;h6-cutoff=10;crash;oom
mos2f6x1,mos2_film,Mo+S,2026-08-08,6,6,1,3,date,121,16.0,window,0.0,0.0,0.0,10.0,,,,1,,incomplete,27,6626.0,0.3329,,phonon/studies/_bubble_positivity.py,phonon/docs/attic/spatial_truncation_derivation.md;phonon/docs/bubble_positivity.md;phonon/docs/run_audit_2026-08.md,keep-referenced,cells_per_block=1;h6-cutoff=10
mos2f6x2,mos2_film,Mo+S,2026-08-08,3,12,2,,unknown,121,16.0,window,0.0,0.0,0.0,10.0,,,,,,no-log,,,1.3076,,phonon/studies/_bubble_positivity.py;phonon/studies/engine/reblock_device.py,phonon/docs/bubble_positivity.md;phonon/docs/production_beds.md;phonon/docs/untested_paths.md,keep-referenced,no-solver-log
